sentence,BookRestaurant,GetWeather,PlayMusic,RateBook
book in one hour within walking distance of a restaurant downtown,1,0,0,0
I need to book a top-rated steakhouse this Autumn  for 1 around Azerbaijan,1,0,0,0
book in Romania for christian and susana at David Carpenter House,1,0,0,0
book in Ukraine at a highly rated restaurant,1,0,0,0
Let me get reservations at a place neighboring Indonesia on August the nineteenth.,1,0,0,0
I'd like to book a reservation for next Spring for nine people at Shore Club.,1,0,0,0
"Book the Chapter One in Bosnia and Herzegovina for patti, hester richardson and camille",1,0,0,0
Book me a restaurant ten minutes from now,1,0,0,0
I need a reservation for a tea house in Maple Glen for four people,1,0,0,0
I'd like to eat at ten PM. anywhere neighboring to our house,1,0,0,0
Book a table for seven people at a restaurant which has internet.,1,0,0,0
"Book a table for 6 at a restaurant in Pershing Square, Manhattan at two am",1,0,0,0
"Book a restaurant in Nebraska on january 25, 2034 for me and my mommy.",1,0,0,0
book a restaurant table at the food court in the spa sixteen hours from now,1,0,0,0
Book me a table for one at Blue Ribbon Barbecue,1,0,0,0
Book a highly rated food court for 2 people on jul. 4th.,1,0,0,0
"Locate a bakery in Rockport, Federated States Of Micronesia that serves olives",1,0,0,0
"Book a table for my great grandfather and I at a place in Booker, AK.",1,0,0,0
book a table at Anstruther Fish Bar in FM,1,0,0,0
Please make a reservation at ten at a bakery which serves burrito.,1,0,0,0
Book the Labworth Café in Ethiopia for six people.,1,0,0,0
I have a party of 7 in East Timor,1,0,0,0
I need a table for 1 minute from now at any pub for five around IN that also serves fisn'n chips.,1,0,0,0
book a best tavern for nine,1,0,0,0
me and aisha and craving cordon bleu and need to book a table at a brasserie.,1,0,0,0
evangeline and petra cooper want to go to a restaurant in 9 years,1,0,0,0
Table for one somewhere in Palco,1,0,0,0
I need to book a restaurant at four o'clock for 4,1,0,0,0
Lets go to a steakhouse before we go to the pool,1,0,0,0
"Book a table for iris, ina and heidi around 9 pm.",1,0,0,0
I need a reservation in Pitcairn Islands for any restaurant  joint,1,0,0,0
Book something for me and my wife at a restaurant in four weeks,1,0,0,0
Need a table in Serbia and Montenegro on Apr. 16 for a party of seven,1,0,0,0
Book a steakhouse with a spa for seven people.,1,0,0,0
I need seats for six at a vegan bar in London Borough of Enfield or the same distant in one second,1,0,0,0
Book a table at a diner which serves thousand island dressing in Ivory Coast.,1,0,0,0
I need a booking for seven people at Metropolitan Museum of Art.,1,0,0,0
Book a reservation for four at the best brasserie in Venezuela,1,0,0,0
Book a table for 1 person at a popular brasserie in Jansen that serves english food,1,0,0,0
I need a reservation for eight for a brasserie that serves spanish rice,1,0,0,0
"Book reservations at a restaurant in NE for 4 people on apr. 2, 2021",1,0,0,0
book a gratin serving tea house in Bushkill,1,0,0,0
Book a restaurant that serves bouchée for midnight.,1,0,0,0
Book a restaurant for 7 people.,1,0,0,0
party of two for a food truck on december 22 that serves chicken french in Bolivia,1,0,0,0
"book a spot for marlene, jordan and I on oct. the 6th",1,0,0,0
book a restaurant that serves trottole in Tillicum,1,0,0,0
I'd like to book the best restaurant in AS.,1,0,0,0
book a spot for 10 in the same area  of Inwood - 207th St,1,0,0,0
"I need to book a restaurant in Burkettsville in 2 years  for rhoda adams, roxanne and I",1,0,0,0
Need a table at a fast food restaurant for me and my kids in Brusly Landing,1,0,0,0
I need a table for nine in Atlas in 1 second,1,0,0,0
Book a restaurant distant from downtown.,1,0,0,0
I want to bring four people to a place that's close to downtown that serves churrascaria cuisine.,1,0,0,0
in Delanson 1 hour from now reserve a table for four,1,0,0,0
Find me a table at a delicatessen in Urbanette that serves rabbit pie,1,0,0,0
Book a restaurant in WI at 13:22:34 for 9 people.,1,0,0,0
Please make reservations for three at a kosher taverna nearby our secondary residence,1,0,0,0
"Book a restaurant in Indiana for me, violet and dianne.",1,0,0,0
book a restaurant close to Grant Av,1,0,0,0
Book reservation for 2 people tomorrow in Whitewater,1,0,0,0
I need a table for 8 people at a restaurant in District Of Columbia.,1,0,0,0
book a table for ten people,1,0,0,0
Book a restaurant for 9 at 00:37 PM,1,0,0,0
Book a restaurant in Botswana for seven people.,1,0,0,0
Book Georgetown Cupcake in Keller for tea time.,1,0,0,0
"Book a restaurant for marcella, erma and leanne rivera.",1,0,0,0
I would like to make a reservation for 2 for brunch.,1,0,0,0
Book a table for me and my crew scheduled for 10:47:15 pm in IL.,1,0,0,0
I'd like to go to the popular bistro in OH,1,0,0,0
Please book a bar type goiano room accommodate for 2 members 1 second from now in PR,1,0,0,0
I'm looking to get a seat at a brasserie in Togo.,1,0,0,0
Book me a table at a Tartinery Restaurant not far from my home in Elk Rapids.,1,0,0,0
"book a brasserie at Turtle Creek neighboring on march sixth, 2038 for eight",1,0,0,0
Book a maharashtrian restaurant please.,1,0,0,0
Book a table for five in Unalaska this month.,1,0,0,0
"My party of 3 would really like to eat baba au rhum at a brasserie, could you help?",1,0,0,0
I want to book a restaurant now in Ludlow for eight,1,0,0,0
I want to book a pub in MS that serves festoni,1,0,0,0
book a cafe in Romania,1,0,0,0
I want to take my parents and I to eat some romagna at a brasserie in North Dakota,1,0,0,0
"Book a table for 1, 1 second from now in Adelaide",1,0,0,0
in one hundred twenty seven days I'd like to eat at a pizzeria in North Lima,1,0,0,0
Book a brasserie in Cuney for seven people.,1,0,0,0
"Book me a table for seven in Co-operative Block Building, ND.",1,0,0,0
I'd like to eat surf and turf in one minute at a bar,1,0,0,0
I want to take my mom and I to the tea house,1,0,0,0
I want to book a highly rated pizzeria in the same area as tia's house,1,0,0,0
I need a table at The Middle East in MN for a party of 6,1,0,0,0
book me a restaurant at Sint Maarten on sun.,1,0,0,0
Book a restaurant in Three Points,1,0,0,0
I want a table for 2 at a Portugal restaurant,1,0,0,0
I'd like to eat at an internet restaurant with a party of four,1,0,0,0
I would like to book a bistro for 7,1,0,0,0
I'd like to eat at a restaurant in MD with a party of 8,1,0,0,0
Find a reservation for 2 at a restaurant for pizza,1,0,0,0
I want to book a restaurant in Bosnia and Herzegovina.,1,0,0,0
Need a booking for a party of five at a restaurant in French Polynesia,1,0,0,0
Book reservation at The Big Chill Cafe in AR for 10 people,1,0,0,0
Make me reservations for a highly rated restaurant.,1,0,0,0
book a restaurant for my baby and I in Delaware,1,0,0,0
Book a table at the top-rated taverna in North Korea.,1,0,0,0
Book reservations at a restaurant in Jersey for six people next October,1,0,0,0
book a cafe table for one that has internet access,1,0,0,0
I'd like to eat at a restaurant far from Grantsburg,1,0,0,0
"Book a table at a tavern in Albania for annette, darlene and barbara james for ten AM",1,0,0,0
Book a restaurant in Swaziland in 1 hour.,1,0,0,0
"Book me a reservation for an osteria campanian on Jun. the 7th, 2022",1,0,0,0
Book a reservation for me and my step sister in Nebraska in two seconds,1,0,0,0
Book the Coon Chicken Inn in Baker City for 4 people.,1,0,0,0
"book a restaurant in French Southern Territories on dec. the fifth, 2026 for two",1,0,0,0
Book me a reservation for 10 in Oman,1,0,0,0
Book a restaurant for nine in South Sudan.,1,0,0,0
Book reservations at a restaurant in Iron Springs,1,0,0,0
"Please make me reservations somewhere for eight people in Foley, NV",1,0,0,0
table for 5 AM. at Baker’s Keyboard Lounge,1,0,0,0
I want to eat mezes at the pub for 1 at four PM,1,0,0,0
I'm looking for a table of eight at The Alley.,1,0,0,0
I need a table for five in Viroqua,1,0,0,0
Book a russian restaurant for 4 people.,1,0,0,0
Book a bakery that serves souvlaki for tomorrow.,1,0,0,0
Find me a table at a javanese brasserie,1,0,0,0
We want to eat at a brasserie with sicilian food in Nebraska,1,0,0,0
book a table for now for 4 for an oyster bar,1,0,0,0
I need a table for 2 on feb. 18 at Main Deli Steak House,1,0,0,0
I'd like to get 4 seats at a restaurant.,1,0,0,0
Asiate restaurant in Sturgeon for 7,1,0,0,0
restaurant in Zambia that is close for a party of 10,1,0,0,0
 restaurant that is brasserie for  8 and has wifi,1,0,0,0
I want eat at the best spanish restaurant in the Georgia area that is within walking distance for me and my nephew at noon,1,0,0,0
book rosalie stewart and evelyn at a restaurant,1,0,0,0
book a table for 0 pm in Fayette for rachael morris and shannon near there,1,0,0,0
I need a table for one,1,0,0,0
"book a spot for nona gray, myrtle and alison at a top-rated brasserie that is distant from Wilson Av on Nov. the 4th, 2030 that serves ouzeri",1,0,0,0
Book the Ballylickey House for 7/16/2027.,1,0,0,0
book an outdoor place for 11/1/2033 in town within walking distance of a brasserie for nine,1,0,0,0
I need a reservation for a restaurant that serves cupcakes in OH,1,0,0,0
I'd like a table for 3 at a tavern in the Vatican,1,0,0,0
I want a table for 5 next fall om Curacao,1,0,0,0
book a table at a restaurant for 10/24/2028 for me and lauren,1,0,0,0
need a table at Uncommon Grounds Coffeehouse at eleven for nine,1,0,0,0
I need a reservation for The French Laundry in OH for six,1,0,0,0
I'd like a table for two at a brasserie in São Tomé and Príncipe,1,0,0,0
Reservea  table for five people on september second in Gabon.,1,0,0,0
Book reservations at a nearby restaurant in Montenegro for four people,1,0,0,0
Book me a reservation for The Brazen Head in Hecker,1,0,0,0
book a molecular gastronomy serving restaurant on march the 20th,1,0,0,0
Book a spot for seven at a japanese joint in Grandview Heights,1,0,0,0
Book me a tibetan restaurant for my boss and I.,1,0,0,0
book a bar close by with a smoking room in MA,1,0,0,0
Can you make reservations for 1 person in IL,1,0,0,0
Book the Dunbrody Country House Hotel in NE for 8 people.,1,0,0,0
Find a table for one at a popular churrascaria for three weeks from now,1,0,0,0
"Make me a reservation at Illinois Central Railroad Freight Depot in Singapore with vickie rodriguez, lila reyes and ruby",1,0,0,0
"I'd like a table for natasha, bettye and kimberley at a coffeehouse with a smoking room",1,0,0,0
"book tortano serving brasserie for me, isabella and carly in Kuwait",1,0,0,0
Book me a table for 2 in 6 years  at a restaurant that serves potée,1,0,0,0
Make a reservation far away at The Spotted Pig in SD.,1,0,0,0
I want to go to an outdoor cafe in Pioneer Day,1,0,0,0
I want to book a table for me and my boss at Glassy Junction in Turkey.,1,0,0,0
I need to book a pub in Cammack Village Wyoming for a party of seven,1,0,0,0
"Book something for darlene, tessa and maxine at a restaurant for 09:58:27",1,0,0,0
Make me a reservation at taverna in a smoking room,1,0,0,0
casey and I will be in Kentucky for food,1,0,0,0
book a spot for 1 at a bakery with crab cake not far from New Jersey,1,0,0,0
Book a table for 7 at a popular bistro distant from Kremmling,1,0,0,0
Book a table for 5 at a pub during my Macedonia trip that serves czech food.,1,0,0,0
Book me seating at a popular joint for Sep. the 10th,1,0,0,0
I'd like a table for six at the bakery in AS,1,0,0,0
Book a restaurant in town not far from here for me and my mother in law.,1,0,0,0
I need reservations for a party of 8 within the same area at 01:48:35 at a restaurant in Armenia that serves tuscan cuisine.,1,0,0,0
book some indonesian food truck food that is not far for a party of 8 in IA,1,0,0,0
"Make a reservation at a diner which serves chowder in MT for august the 17th, 2024.",1,0,0,0
"I need a table at Light Horse Tavern in City of the Dalles NH for kathleen, brianna and I",1,0,0,0
I need seats for five at a place five and a half months from now,1,0,0,0
Book a pub for eight people in the Pitcairn Islands.,1,0,0,0
I need a table for a party of 2 at Co-operative Block Building in Old Glory,1,0,0,0
I want Jean-Georges for a party of 2,1,0,0,0
Reserve me seating midday at Bear Hotel,1,0,0,0
Book a restaurant near the City of Wakefield for 5 people.,1,0,0,0
Book a table for two in Oklahoma,1,0,0,0
book me a restaurant in Guadeloupe,1,0,0,0
Find me a table for 8 people at a nearby AL restaurant one minute from now.,1,0,0,0
"book in West Palm Beach for glenda, lois and tamra at a nearby restaurant serving puglia",1,0,0,0
I need a table at a restaurant in Ireland serving kouglof,1,0,0,0
"Find me a bar in Eagle Pass, Vermont that serves noodle dishes, that will take reservations for 2/21/2021.",1,0,0,0
"Book a table for ida, monica and etta at Cold Spring Tavern in MD",1,0,0,0
Book reservations at a highly rated bar on 11/23/2031,1,0,0,0
book a stuffed ham serving pizzeria in Independence Corner,1,0,0,0
book a brasserie with parking for 1,1,0,0,0
I want to book a table at a nearby restaurant in Andorra for me and my kids.,1,0,0,0
I really need a top-rated restaurant that can seat 3 people in 1 minute from now.,1,0,0,0
Book a churrascaria restaurant that serves spring rolls for one person.,1,0,0,0
Book reservations at a restaurant for me and my ex husband in West Virginia,1,0,0,0
Make me a reservation for a party of 2,1,0,0,0
book a diner for 1 in Green Isle,1,0,0,0
book fast food that is highly rated,1,0,0,0
me and katharine would like to go eat at Jan. 22nd in IA,1,0,0,0
book Main Deli Steak House on february 13 in Serbia and Montenegro,1,0,0,0
I want tables for 6 at a kosher steakhouse around Kosovo,1,0,0,0
I need to book a restaurant that serves sundanese in Bonaire for 7,1,0,0,0
Book a taverna that serves bengali for six at five,1,0,0,0
I'm looking to book a table at a gastropub that serves vegetarian for me and my team,1,0,0,0
Please book me a table at a food court faraway from Saint Kitts and Nevis.,1,0,0,0
I want to book a table at The Commons Restaurant in South Pekin New Hampshire for a party of 10 on january the 24th,1,0,0,0
Book a restaurant in Bouchon for 1,1,0,0,0
book a restaurant for 5,1,0,0,0
book a spot at a crab restaurant,1,0,0,0
Book a reservation at a restaurant nearby their airbnb,1,0,0,0
Book a reservation for Louisiana Fried Chicken this winter in Taiwan,1,0,0,0
book a restaurant in HI,1,0,0,0
I want to book a bar in Bonaparte Palau.,1,0,0,0
Can you make reservations at a tea house that serves fettucine?,1,0,0,0
I want to book Meriton Grand Hotel Tallinn in New Jersey for four people.,1,0,0,0
I want a table for eight in Yakima Rhode Island,1,0,0,0
Book a reservation for a restaurant serving wontons for ten people in Leopold,1,0,0,0
book at Tavern on the Green for in 1 minute in CO,1,0,0,0
Book a reservation for a party of four within the same area of Districts of Sweden,1,0,0,0
I need to reserve a table for me and my mom at the nearest restaurant in the state of MH.,1,0,0,0
set an reservation for a party of eight at the bar on 8/8/2039,1,0,0,0
Book me a table for two in Oakes.,1,0,0,0
I need to book a table for 6 people at Montreal Pool Room in Croatia.,1,0,0,0
"Reserve a table in Top of the Mark Lambertville, Vermont.",1,0,0,0
"I'm going to Herkimer and want some liver and onions and I need a table for bessie, antonia and lisa at a cafe around 10 AM",1,0,0,0
book a restaurant for november 19,1,0,0,0
Reserve a table at a restaurant with wifi in France,1,0,0,0
Can you make reservations for two people somewhere distant from Sutphin Blvd,1,0,0,0
"I need a table at somewhere within walking distance of NV on november the 24th, 2027",1,0,0,0
I need to book a tropézienne restaurant six hours from now,1,0,0,0
I need a table in your position at churrascaria for a hot dog in the same area,1,0,0,0
Book a table at Crown Candy Kitchen for lacy and I,1,0,0,0
Book at table at a brasserie which serves padangnese food.,1,0,0,0
I need to book a table for five at the Crooked House of Windsor.,1,0,0,0
make a reservation for 9 at a brasserie with parking,1,0,0,0
book a table today at a steakhouse for eight that serves sashimi,1,0,0,0
I need a table at a cafe that serves baeckeoffe,1,0,0,0
"Book a reservation for 1 at PM Park, Clear Lake, Iowa in Mongolia in 1 hour",1,0,0,0
Book a restaurant in CA for my parents and I on oct. the seventeenth,1,0,0,0
Book a table for a party of twelve in Lewisville AMerican Samoa for a party of 7 at the Ballachulish House,1,0,0,0
I need a table in Iron Gates in one minute  at the Weathervane Restaurant,1,0,0,0
I need a table booking for a highly rated sardinian pub.,1,0,0,0
Book a restaurant in seven in Fort McKinley,1,0,0,0
Book a table for three at a restaurant in Louisiana,1,0,0,0
I'd like a table for 3 at an outdoor restaurant,1,0,0,0
Book a popular restaurant for two which is distant from Avalon.,1,0,0,0
"book Guenther House for 6 on Oct. 24, 2035 in Waddy",1,0,0,0
Find a table for 2 at a restaurant in Saint Vincent and the Grenadines,1,0,0,0
book cornelia and bettie a table at a brasserie restaurant in Colombia,1,0,0,0
book a spot for my colleague and I at a pizzeria with a pool in Owings Mills Wisconsin,1,0,0,0
I'd like to eat english cuisine at a restaurant in Ettrick,1,0,0,0
reserve a table for two at the restaurant at 9 pm,1,0,0,0
book for my girlfriend and I for truffade at a gastropub in West Virginia,1,0,0,0
I need a table for six pm for me and my step daughter at Cafe Rouge,1,0,0,0
Book a restaurant for 7 people.,1,0,0,0
Book a table for nine people in NJ.,1,0,0,0
"In Apr., I'd like to eat at a pub Manack Montana with 4 people",1,0,0,0
Book a tavern in Rhode Island that serves saucisse.,1,0,0,0
On 10/14/2026 I have two people to eat at Coney Island Hot Dog Stand,1,0,0,0
I want to book a restaurant for nine with wifi,1,0,0,0
I want to book a close restaurant in SC for seven,1,0,0,0
I need a reservation for four at a restaurant,1,0,0,0
I need a reservation for four minutes from now for 3 people in the Falkland Islands,1,0,0,0
Book a restaurant in Delhi Arkansas for three people.,1,0,0,0
I need a dinner reservation in three months for a restaurant in Hills and Dales.,1,0,0,0
Find a table at a bar for milagros and I in Mount Pocono,1,0,0,0
"Book something for my girlfriend and I at a food truck that has pizzas in Brookwood on October fifteenth, 2020",1,0,0,0
"renee sanders, marlene and jewel want to go to a gastropub in the spa",1,0,0,0
Make me a reservation at a delicatessen that serves tofy for a party of four in AZ,1,0,0,0
Need a table within the same area as Beach 105th St for a party of 6,1,0,0,0
"on April the twenty-seventh, 2022, I'd like to make reservations at a spanish diner.",1,0,0,0
book a spot in Netherlands Antilles,1,0,0,0
book a food truck for greek food for 7,1,0,0,0
"me and terrie need a table at a bar in Hypoluxo, UT",1,0,0,0
I want to find parking next to a restaurant for 10,1,0,0,0
I need to book a table for three at a restaurant in South Sudan,1,0,0,0
I need a reservation for a brasserie place for a party of two,1,0,0,0
Book a table at a cuban pub for 5 pm for a party of 7 in Virginia.,1,0,0,0
I'd like to visit a pizzeria with a pool at fourteen o'clock.,1,0,0,0
I want to book a restaurant for eight in Harding.,1,0,0,0
book four people at a Madagascar bar,1,0,0,0
Make a reservation for 8 at a diner that serves haystack,1,0,0,0
I'd like to eat within the same area of Lawrence St for a party of one,1,0,0,0
table for 4 in Sparks,1,0,0,0
book in Vermont at The Maisonette,1,0,0,0
Where is Chips in Crouch,1,0,0,0
reserve a smoking room at the restaurant,1,0,0,0
Book a table for four around midnight in Saint Pierre and Miquelon.,1,0,0,0
Book the Great House at Sonning distant from Gun Hill Rd.,1,0,0,0
I need to book the best food court in within the same area as OK that serves persian food for my ex husband and I,1,0,0,0
Book a restaurant in one minute for five people in Canal Fulton.,1,0,0,0
I want to book seats for 2 at churrascaria using the internet,1,0,0,0
book a joint for Feb. the seventh in Oklahoma within walking distance for six that is highly rated,1,0,0,0
Make a reservation for 7 people at a gastropub on Isle of Man.,1,0,0,0
Book a brasserie for me and my team at four am,1,0,0,0
Book reservations at a tea house with esperanza and tommie now,1,0,0,0
book a bar in San Marino for five,1,0,0,0
I need a table in West Virginia for me and my baby at Jacob Wirth Restaurant,1,0,0,0
"Reserve a table for nine people at a caribbean restaurant in White Creek, Utah.",1,0,0,0
book a restaurant for five in karnataka,1,0,0,0
in a week  make a reservation for a table of 7 in District Of Columbia,1,0,0,0
book me a restaurant,1,0,0,0
I want to book a table for a party of 4 at a taverna next spring.,1,0,0,0
need a table at a highly rated restaurant within walking distance from downtown for luisa and I,1,0,0,0
book a southeastern brazilian cusinie pub,1,0,0,0
Book the Atomic Cafe for ten people.,1,0,0,0
Book a restaurant in FL in the city of Lochearn for my step son and I,1,0,0,0
"Book a pub for two on jan. first, 2037.",1,0,0,0
restaurant named The Palm in Tennyson MI,1,0,0,0
I need a table for four at ten PM. in Dodge Park,1,0,0,0
Book me a table at the highly rated cafeteria in Federated States Of Micronesia,1,0,0,0
Book a table at the Montreal Pool Room in North Carolina for 7 AM,1,0,0,0
Book something at a highly rated and distant cafe in Kazakhstan for two on April 21,1,0,0,0
I'd like to book a restaurant that serves pôchouse in Rocksprings.,1,0,0,0
Please make reservations for me and my roommate somewhere in Bouvet Island,1,0,0,0
Book me a table at a romanian brasserie in Rixford,1,0,0,0
book me a bar that has chicken fried bacon in Vermont,1,0,0,0
"I need to book a table at a bar in Micronesia for tia, madeline and estela",1,0,0,0
Please make reservations in Yeager for seven am at a highly rated indian brasserie,1,0,0,0
me and my father in law want go eat gratin at a restaurant,1,0,0,0
book a manadonese restaurant for two,1,0,0,0
book a table for 3 in Macao,1,0,0,0
"I'm looking to bring shawn, marguerite and della to a place to eat at near Rwanda.",1,0,0,0
book a spot at a tsipouro restaurant in Connecticut,1,0,0,0
Book a reservation for 9 people at a roman pizzeria,1,0,0,0
I'd like to eat at a popular brasserie in Chile with a party of 5,1,0,0,0
I need a reservation for Little Grill Collective for supper with eight people,1,0,0,0
"I want to eat a a brasserie that serves muffuletta, where can I get a reservation?",1,0,0,0
"Book a table for six at The Cherry Street Tavern for January sixteenth, 2024",1,0,0,0
get me a reservation at a brasserie that serves jain in Pinto,1,0,0,0
Find a table at a joint with northern brazilian food in GA,1,0,0,0
Book an outdoor restaurant.,1,0,0,0
I'd like to eat at the best southeastern brazilian restaurant with five people,1,0,0,0
table for 1 please,1,0,0,0
Book a restaurant in Geddes on march the twenty-seventh for me and my husband,1,0,0,0
I need a top-rated pub in Friona,1,0,0,0
I would like reservations for Cliff House in seven months for six people.,1,0,0,0
Reserve a table at a top-rated restaurant for dinner in twelve hours .,1,0,0,0
BOok a table for me and georgina at a pub in a spa,1,0,0,0
table for 6 at a bar,1,0,0,0
I want to book a pizza restaurant close to Astor Place for nine at 3 am,1,0,0,0
I need reservations at a restaurant at 20 o'clock in FM,1,0,0,0
I need a reservation for a joint in AZ for 3,1,0,0,0
book a spot for my kids and I at a restaurant with frybread,1,0,0,0
Need to book a restaurant in PA in the city of Old Orchard Beach,1,0,0,0
Find a reservation in Deweese for my sister and I,1,0,0,0
I'd like a restaurant on 6/1/2027 for 5 people in Iowa City,1,0,0,0
book a table near Bienville for Pioneer Day,1,0,0,0
I need a table at the close restaurant for my niece and I  at the Brooklyn Bridge-City Hall.,1,0,0,0
book a restaurant for 7 in MN,1,0,0,0
"I'd like to book a brasserie in Virginia City, GA.",1,0,0,0
book a spot at a restaurant within walking distance of Palau,1,0,0,0
I would like reservations for Giodi's in Piper AZ.,1,0,0,0
Book me a table for a party of eight in Germany.,1,0,0,0
book a table for me and savannah in Lauderdale Lakes,1,0,0,0
Book a highly rated fast food restaurant in Falmouth.,1,0,0,0
book a spot for two at a churrascaria that sells cupcake in Lumpkin Indiana now,1,0,0,0
Book me seats for 6 at the best brasserie that serves marche neighboring my hostel,1,0,0,0
Book reservations at a north indian bar for 4 people,1,0,0,0
book me a restaurant that is close for four people in Enid,1,0,0,0
book a restaurant in Montverde in Marshall Islands,1,0,0,0
Get me a table for 5 at a restaurant which serves south tyrolean.,1,0,0,0
Make me a reservation in Colorado at nine am at National Cash Register Building,1,0,0,0
Book me a restaurant in Cyprus at a pub,1,0,0,0
Book the Last Exit on Brooklyn 5 hours from now for one person.,1,0,0,0
I'd like to eat at the Original Spanish Kitchen in North Carolina,1,0,0,0
"Book the best cafe on Jan. 18th, 2035.",1,0,0,0
I need a table for 4 in Pelland,1,0,0,0
I want to book a tea house for 4 that serves madeleine,1,0,0,0
Book The Electric Banana in Ewen for crystal and brittney.,1,0,0,0
I want a table for five at a restaurant with latin food in Arkansas for 1 hour from now,1,0,0,0
"book a table for 10 at The Dome, Edinburgh",1,0,0,0
"Coon Chicken Inn restaurant for 1 am for me, clarice and debbie",1,0,0,0
book a table for seven during our Thailand trip that is within walking distance of our hotel.,1,0,0,0
Please book a restaurant for nine members on august 25 in DC,1,0,0,0
Book a restaurant at sixteen o'clock in SC,1,0,0,0
book a pub for helen and miriam in nine years from now,1,0,0,0
I need a reservation for Cashel Palace Hotel in California for a party of 9,1,0,0,0
I'd like to eat with a party of 8 in Hitchita OR,1,0,0,0
book a table for my step father and I,1,0,0,0
I'd like a table for 6 at a restaurant in Denmark at 22,1,0,0,0
book a bistro for 4 at sunset,1,0,0,0
I need a reservation at The One Eighty for elsa and wendy in Muscle Shoals.,1,0,0,0
book a brasserie for one,1,0,0,0
"I would like to book at a pub on mar. 8, 2020 that is close to Broadway-Lafayette St for my daughters and I.",1,0,0,0
"I need a top-rated gastropub for 5 in DC in Conshohocken on Jul. the 18th, 2024",1,0,0,0
book a table in Fleetwood at a nearby deli,1,0,0,0
book in Southern Shores for 8 at Ariston Cafe,1,0,0,0
Book a table at the WWE The World in South Korea.,1,0,0,0
Book table on the 23 in Illinois at the Maison Parthenais-Perrault II.,1,0,0,0
Book a reservation for eight people in North Dakota,1,0,0,0
book for 3 in U.S. Virgin Islands,1,0,0,0
"hannah lewis and chelsea want to go to a cafe in Botswana on Apr. the seventeenth, 2024",1,0,0,0
"book a latin cuisine pub for 2 on September the 13th, 2037 in Kazakhstan",1,0,0,0
"I want to bring antoinette, christine and caitlin to get bread at a restaurant in faraway Connecticut",1,0,0,0
Book the tea house on North River,1,0,0,0
I want to eat at a food truck this week with my colleague and I,1,0,0,0
I need a table for 9,1,0,0,0
Book a table for 10 people on bunker hill day at a food court which serves spätzle in Monaco,1,0,0,0
Book a reservation for restaurant in Texas,1,0,0,0
I want a table for four at a place in California,1,0,0,0
book a spot for 3 at the pizza place,1,0,0,0
book a spot for 6 at a tea house in Tokelau,1,0,0,0
"Book a restaurant with a pool with alta, deborah and bertha in IA.",1,0,0,0
Book a restaurant for one in AL.,1,0,0,0
Book a table for 2 at the Seward Community Cafe within the same area in Shabbona,1,0,0,0
Book a table at a bar in Cambodia that serves cheese fries.,1,0,0,0
I want a table for 4 in Florida,1,0,0,0
book a carolina style restaurant in North Korea for my grandkid and I,1,0,0,0
book a table at a top-rated brasserie in Pakistan,1,0,0,0
I want to book a restaurant for 6 on january third within walking distance of Northvale,1,0,0,0
I would like to book the best southeastern brazilian food court,1,0,0,0
Book a reservation for six people at a churrascaria restaurant in Cook Islands one minute from now,1,0,0,0
I need a party of 4 to get a table reserved at a pub with southeastern cuisine.,1,0,0,0
book at Beardslee Castle in Fairview Lanes for fifteen o'clock,1,0,0,0
I need a reservation for the smoking room at a fast food place for 8 people,1,0,0,0
book me a restaurant in the Northern Mariana Islands,1,0,0,0
book a food truck in Nisswa for 4 at 5 pm,1,0,0,0
I want to book the Clarke Cooke House in Uzbekistan,1,0,0,0
party of four somewhere in SD,1,0,0,0
Find me a coffeehouse for nine in Indiana that has access to a pool,1,0,0,0
I want to book an indonesian food truck.,1,0,0,0
I'd like to eat souvlaki fast food with a party of two,1,0,0,0
I need a table for 5 at a brasserie that has a reuben sandwich,1,0,0,0
Book a reservation for three at a top-rated sicilian restaurant in Portugal,1,0,0,0
book a restaurant for 2 that has internet,1,0,0,0
Get me a table for 3 within walking distance from my hotel in Tajikistan.,1,0,0,0
I'm looking for a churrascaria place with wifi that can serve a party of five.,1,0,0,0
book John Pearson Soda Works restaurant on 7/27/2036,1,0,0,0
"I need a table at a restaurant serving carne pizzaiola for tamra davis, viola and dorothea",1,0,0,0
"I need a reservation for Arcadian Court on June the fifth, 2035",1,0,0,0
John Ross House restaurant in town and close-by,1,0,0,0
make a reservation at a bakery that has acquacotta in Central African Republic for five,1,0,0,0
Book me a table for 8 at a restaurant for seven pm,1,0,0,0
Book me a table at a hungarian delicatessen in North Dakota.,1,0,0,0
"Reserve a spot at indoor restaurant on june the 15th, 3 guests",1,0,0,0
Book a popular brasserie in Roads End,1,0,0,0
I need reservations for next autumn in Belgium at a highly rated diner.,1,0,0,0
Find a table for two in a place not far in Culdesac,1,0,0,0
Please make reservations for 4 for the hog fry from the food truck,1,0,0,0
book a spot for one at The Wolseley at elevenses,1,0,0,0
"I need a table for me, violet and maude at a restaurant in NE",1,0,0,0
I want to eat at a indoor bar for two,1,0,0,0
Can you reserve a table within the same area as the AMerican Samoa for me and my mom,1,0,0,0
Let me get reservations for a party of three at a bar with a pool.,1,0,0,0
Set me up with a table at a bar with salade for 5,1,0,0,0
I want seats for 4 at a Sichuan Food restaurant in Indonesia,1,0,0,0
Can you get me seating at a pub in South Korea that serves milk toast for supper,1,0,0,0
Take me a top-rated restaurant for nine close to Westfield Delaware,1,0,0,0
